Query,Type,Retrieved Relevant,Baseline Answer Correct,Improved Answer Correct,Failure Type Before,Failure Type After
What is RAG?,Factual,Yes,Yes,Yes,None,None
What is a vector database?,Factual,Yes,Yes,Yes,None,None
What are embeddings?,Factual,Yes,Yes,Yes,None,None
How do vector databases and embeddings work together?,Multi-hop,Yes,Yes,Yes,None,None
How do embeddings help RAG systems?,Multi-hop,Yes,Yes,Yes,None,None
Why is it useful?,Ambiguous,Yes,Partial,Yes,Overly verbose,None
How does it work?,Ambiguous,Yes,Partial,Yes,Overly verbose,None
What is ML?,Out-of-scope,Yes,No,Yes,Hallucination,None
Who is Elon Musk?,Out-of-scope,No,Yes,Yes,None,None
What is Python programming?,Out-of-scope,No,Yes,Yes,None,None
